subset,true_class,output_class,prefix_length,n_sequences,mean_probability
all,Fear,Disgust,20,108,0.1489290747985185
all,Fear,Fear,20,108,0.4500858024087038
all,Fear,Happiness,20,108,0.11581249031527777
all,Fear,Neutral,20,108,0.10707197826601857
all,Fear,Sadness,20,108,0.06109855463185182
all,Fear,Surprise,20,108,0.08541767361129628
all,Fear,Anger,21,108,0.021098086261851848
all,Fear,Disgust,21,108,0.15387349097111114
all,Fear,Fear,21,108,0.4731879318487963
all,Fear,Happiness,21,108,0.11227414328518516
all,Fear,Neutral,21,108,0.09172728161944443
all,Fear,Sadness,21,108,0.05406513516592591
all,Fear,Surprise,21,108,0.09377392584814814
all,Fear,Anger,22,108,0.02039244324203704
all,Fear,Disgust,22,108,0.16573195749879635
all,Fear,Fear,22,108,0.4870212801805558
all,Fear,Happiness,22,108,0.11074388234074073
all,Fear,Neutral,22,108,0.07373553858657407
all,Fear,Sadness,22,108,0.04821010335037038
all,Fear,Surprise,22,108,0.09416479764139819
all,Fear,Anger,23,108,0.020370629757037042
