true_label,rank,fea_name,raw_difference_incorrect_minus_correct,sd_scaled_difference,abs_sd_scaled_difference,is_paper_relevant_fea,rank_within_paper_relevant
Neutral,45,NoseWrinklerL,0.001862921395736549,0.010791783744837443,0.010791783744837443,True,21
Neutral,46,OuterBrowRaiserR,-0.001665493890457878,-0.0103953320344447,0.0103953320344447,True,22
Neutral,47,ChinRaiserB,-0.0017110537321464309,-0.008317226327063392,0.008317226327063392,True,23
Neutral,48,LipFunnelerRT,-0.00033624360306859426,-0.008294088982235612,0.008294088982235612,True,24
Neutral,49,LipFunnelerLT,0.0003296468237725687,0.008148945568556203,0.008148945568556203,True,25
Neutral,50,LipCornerDepressorL,0.00101419756123536,0.006088241349178767,0.006088241349178767,True,26
Neutral,51,ChinRaiserT,-0.0010006921935160461,-0.005288132307005469,0.005288132307005469,True,27
Neutral,53,LipCornerDepressorR,0.0005995235076149026,0.003710137490674433,0.003710137490674433,True,28
Neutral,55,LipStretcherR,-0.00027031054862884044,-0.0023806328771001505,0.0023806328771001505,True,29
Neutral,56,NoseWrinklerR,0.000249866562794683,0.0014260356551222013,0.0014260356551222013,True,30
Neutral,57,LipFunnelerRB,-4.565618129652053e-05,-0.0009191993309927913,0.0009191993309927913,True,31
Neutral,58,LipStretcherL,-9.441406763899523e-05,-0.0008755813862512845,0.0008755813862512845,True,32
Neutral,59,LipPressorL,-2.509907734278644e-05,-0.0005664861721191992,0.0005664861721191992,True,33
Neutral,60,LipFunnelerLB,-2.1825676099891782e-05,-0.00043541490401652414,0.00043541490401652414,True,34
Neutral,61,LipPressorR,-1.8587062159007986e-05,-0.00041643185404198376,0.00041643185404198376,True,35
Sadness,3,LipPressorR,0.18574464471066282,4.16149610484539,4.16149610484539,True,1
Sadness,4,LipPressorL,0.1823308086690682,4.115206326180903,4.115206326180903,True,2
Sadness,5,BrowLowererR,0.36315782376870465,2.5720304371128844,2.5720304371128844,True,3
Sadness,6,BrowLowererL,0.3503178378995913,2.3967938839239946,2.3967938839239946,True,4
Sadness,9,NoseWrinklerR,0.2903201425413316,1.6569118734157753,1.6569118734157753,True,5
Sadness,10,NoseWrinklerL,0.2851937542009767,1.6521090625503319,1.6521090625503319,True,6
Sadness,12,LipCornerDepressorR,-0.24723666806008202,-1.5300184556371834,1.5300184556371834,True,7
Sadness,13,CheekRaiserR,0.30625291564156265,1.4786880378744243,1.4786880378744243,True,8
Sadness,14,LipCornerDepressorL,-0.24567967356761575,-1.4748183238038637,1.4748183238038637,True,9
Sadness,15,CheekRaiserL,0.29888006939367573,1.4004895137064468,1.4004895137064468,True,10
Sadness,17,LipFunnelerRB,-0.0654170120099759,-1.3170456215903423,1.3170456215903423,True,11
Sadness,18,LipFunnelerLB,-0.06450547493543249,-1.2868625489082055,1.2868625489082055,True,12
Sadness,19,LipTightenerR,-0.07215722011239094,-1.2737003272309695,1.2737003272309695,True,13
Sadness,20,LipTightenerL,-0.07399294243744313,-1.255510877680557,1.255510877680557,True,14
Sadness,21,LipFunnelerRT,-0.04918129875382456,-1.2131504195275922,1.2131504195275922,True,15
Sadness,22,LipFunnelerLT,-0.04623722731508228,-1.1429949311191252,1.1429949311191252,True,16
Sadness,30,ChinRaiserB,-0.08531131903622813,-0.4146880576301492,0.4146880576301492,True,17
Sadness,33,OuterBrowRaiserL,0.05871653683465618,0.3744337853229367,0.3744337853229367,True,18
Sadness,34,LipStretcherL,-0.039039010005008076,-0.362041710021027,0.362041710021027,True,19
Sadness,35,ChinRaiserT,-0.06758799956586603,-0.357167055350269,0.357167055350269,True,20
Sadness,36,OuterBrowRaiserR,0.05560893800319391,0.34708825888705414,0.34708825888705414,True,21
Sadness,37,LipStretcherR,-0.03632354077591785,-0.3199024818767721,0.3199024818767721,True,22
Sadness,38,UpperLidRaiserR,-0.060542334554091186,-0.28137075422306596,0.28137075422306596,True,23
Sadness,39,InnerBrowRaiserL,0.04260004471038335,0.27741214541443954,0.27741214541443954,True,24
