true_label,fea_name,raw_difference_incorrect_minus_correct
Fear,LipsToward,-0.012207118903425157
Happiness,LipsToward,
Neutral,LipsToward,0.006121919969536413
Sadness,LipsToward,0.00851987027851539
Surprise,LipsToward,0.013316114441734764
Anger,LowerLipDepressorL,0.06605702518839877
Disgust,LowerLipDepressorL,0.06497055632451439
Fear,LowerLipDepressorL,0.0009871879018091556
Happiness,LowerLipDepressorL,
Neutral,LowerLipDepressorL,-0.00440798772069217
Sadness,LowerLipDepressorL,-0.01841945621412292
Surprise,LowerLipDepressorL,0.07406956955532759
Anger,LowerLipDepressorR,0.06340670187193347
Disgust,LowerLipDepressorR,0.05811674109978007
Fear,LowerLipDepressorR,-0.0013114842477971109
Happiness,LowerLipDepressorR,
Neutral,LowerLipDepressorR,-0.0039927036080677
Sadness,LowerLipDepressorR,-0.01644194215893938
Surprise,LowerLipDepressorR,0.060312458403825014
Anger,MouthLeft,0.00778588096318427
Disgust,MouthLeft,-0.012108564196914234
Fear,MouthLeft,0.00917319284705466
Happiness,MouthLeft,
Neutral,MouthLeft,0.002020047068520571
Sadness,MouthLeft,0.0031200517414779355
Surprise,MouthLeft,-0.0014469429085465823
Anger,MouthRight,0.008481267665112268
Disgust,MouthRight,-0.008284888987804936
Fear,MouthRight,-0.0008343825730835233
Happiness,MouthRight,
Neutral,MouthRight,0.00029023649078839444
Sadness,MouthRight,0.0011898369901799108
Surprise,MouthRight,-0.004299687247092438
Anger,NoseWrinklerL,0.26327107747801354
Disgust,NoseWrinklerL,-0.3354785113196745
Fear,NoseWrinklerL,0.02419406512243802
Happiness,NoseWrinklerL,
Neutral,NoseWrinklerL,0.001862921395736549
Sadness,NoseWrinklerL,0.2851937542009767
Surprise,NoseWrinklerL,0.04857863393622318
Anger,NoseWrinklerR,0.2655590887610686
Disgust,NoseWrinklerR,-0.34716508915555017
Fear,NoseWrinklerR,0.024163111822118395
Happiness,NoseWrinklerR,
Neutral,NoseWrinklerR,0.000249866562794683
Sadness,NoseWrinklerR,0.2903201425413316
Surprise,NoseWrinklerR,0.041162638400633104
Anger,OuterBrowRaiserL,0.007328237960679804
Disgust,OuterBrowRaiserL,-0.011248273604371594
Fear,OuterBrowRaiserL,-0.15252130797186889
Happiness,OuterBrowRaiserL,
Neutral,OuterBrowRaiserL,-0.007410168101909332
Sadness,OuterBrowRaiserL,0.05871653683465618
Surprise,OuterBrowRaiserL,-0.31212951478877365
