subset,true_class,output_class,prefix_length,n_sequences,mean_probability
all,Fear,Fear,7,54,0.2921925204390741
all,Fear,Happiness,7,54,0.2020026384212963
all,Fear,Neutral,7,54,0.267543597892963
all,Fear,Sadness,7,54,0.0776290024627037
all,Fear,Surprise,7,54,0.10636527947055556
all,Fear,Anger,8,54,0.015903368765388892
all,Fear,Disgust,8,54,0.03550887221722222
all,Fear,Fear,8,54,0.30460124112796305
all,Fear,Happiness,8,54,0.19666819942518515
all,Fear,Neutral,8,54,0.27505478341953704
all,Fear,Sadness,8,54,0.06809337056405555
all,Fear,Surprise,8,54,0.10417015126859258
all,Fear,Anger,9,54,0.014714372727388887
all,Fear,Disgust,9,54,0.034870439234444446
all,Fear,Fear,9,54,0.3146612010425926
all,Fear,Happiness,9,54,0.19165453515759262
all,Fear,Neutral,9,54,0.2843931163545
all,Fear,Sadness,9,54,0.05776560256872223
all,Fear,Surprise,9,54,0.1019407240925926
all,Fear,Anger,10,54,0.013436054124481478
all,Fear,Disgust,10,54,0.03463292569074074
all,Fear,Fear,10,54,0.3207546035338889
all,Fear,Happiness,10,54,0.18591849631407412
all,Fear,Neutral,10,54,0.29568852506262966
all,Fear,Sadness,10,54,0.04799717316883333
all,Fear,Surprise,10,54,0.10157221632527777
all,Fear,Anger,11,54,0.012860761068462963
all,Fear,Disgust,11,54,0.0349592263575926
all,Fear,Fear,11,54,0.32702661634907415
all,Fear,Happiness,11,54,0.17910789288240744
all,Fear,Neutral,11,54,0.3019125105788036
all,Fear,Sadness,11,54,0.04086104922437038
all,Fear,Surprise,11,54,0.10327194971094447
all,Fear,Anger,12,54,0.012490295452425923
all,Fear,Disgust,12,54,0.03540889042759259
all,Fear,Fear,12,54,0.3350579208372223
all,Fear,Happiness,12,54,0.1735617177074074
all,Fear,Neutral,12,54,0.2973361116732147
all,Fear,Sadness,12,54,0.03608228696164816
all,Fear,Surprise,12,54,0.11006276613070375
all,Fear,Anger,13,54,0.01315781365455556
all,Fear,Disgust,13,54,0.035293416131296294
all,Fear,Fear,13,54,0.3371386910277408
all,Fear,Happiness,13,54,0.1678769078001852
all,Fear,Neutral,13,54,0.2977479565781259
all,Fear,Sadness,13,54,0.03227196288031481
all,Fear,Surprise,13,54,0.11651325193779628
all,Fear,Anger,14,54,0.01564054188059259
all,Fear,Disgust,14,54,0.03577926164555555
all,Fear,Fear,14,54,0.33898503028307414
all,Fear,Happiness,14,54,0.16413184246925927
all,Fear,Neutral,14,54,0.2934108125418148
all,Fear,Sadness,14,54,0.0288461943550926
all,Fear,Surprise,14,54,0.1232063094177963
all,Fear,Anger,15,54,0.017210952104240743
all,Fear,Disgust,15,54,0.036650200168148156
all,Fear,Fear,15,54,0.34724391657592596
all,Fear,Happiness,15,54,0.16049413653796296
all,Fear,Neutral,15,54,0.28272543356948154
all,Fear,Sadness,15,54,0.02556137752061111
all,Fear,Surprise,15,54,0.13011396684899998
all,Fear,Anger,16,54,0.01640375208666667
all,Fear,Disgust,16,54,0.03745792442055556
all,Fear,Fear,16,54,0.37371491087081493
all,Fear,Happiness,16,54,0.15747112995388884
all,Fear,Neutral,16,54,0.25092260660101845
all,Fear,Sadness,16,54,0.022974501452462957
all,Fear,Surprise,16,54,0.14105518310909257
all,Fear,Anger,17,54,0.014946527320055556
all,Fear,Disgust,17,54,0.03774154632481481
all,Fear,Fear,17,54,0.39227392691666657
all,Fear,Happiness,17,54,0.1601783328240741
all,Fear,Neutral,17,54,0.22130899641216117
all,Fear,Sadness,17,54,0.01984338977001852
all,Fear,Surprise,17,54,0.1537072891844445
all,Fear,Anger,18,54,0.012761960282888889
all,Fear,Disgust,18,54,0.038707706458888894
all,Fear,Fear,18,54,0.39895174473333317
all,Fear,Happiness,18,54,0.15990403246462964
all,Fear,Neutral,18,54,0.20988068232698143
all,Fear,Sadness,18,54,0.014872711494962963
all,Fear,Surprise,18,54,0.1649211507792223
all,Fear,Anger,19,54,0.01080521907646296
all,Fear,Disgust,19,54,0.03898117599740739
all,Fear,Fear,19,54,0.40516224627777786
all,Fear,Happiness,19,54,0.15618333279000002
all,Fear,Neutral,19,54,0.20674362356509257
all,Fear,Sadness,19,54,0.008988410232685186
all,Fear,Surprise,19,54,0.1731359912446296
all,Fear,Anger,20,54,0.009410419666314817
all,Fear,Disgust,20,54,0.03918147415407408
all,Fear,Fear,20,54,0.4126940306379629
all,Fear,Happiness,20,54,0.15245192246333336
all,Fear,Neutral,20,54,0.20537945770235183
all,Fear,Sadness,20,54,0.005058699906833334
all,Fear,Surprise,20,54,0.1758239955267223
all,Fear,Anger,21,54,0.008471014043796295
all,Fear,Disgust,21,54,0.04033673119351851
all,Fear,Fear,21,54,0.4246422405370371
all,Fear,Happiness,21,54,0.14850006949388894
all,Fear,Neutral,21,54,0.196971434240963
all,Fear,Sadness,21,54,0.003305895978000001
all,Fear,Surprise,21,54,0.1777726163801852
all,Fear,Anger,22,54,0.0079460202967963
all,Fear,Disgust,22,54,0.04187507812685184
all,Fear,Fear,22,54,0.4359467652351852
all,Fear,Happiness,22,54,0.14148885768129624
all,Fear,Neutral,22,54,0.1870073336498148
all,Fear,Sadness,22,54,0.0025296979649999996
all,Fear,Surprise,22,54,0.18320624523740742
all,Fear,Anger,23,54,0.007733402533592592
